arrivalRate_pkts_per_ms,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
15.1991,7,4.69215,8.14948,7.50018,5.36725,108,108
15.1991,8,6.83656,5.56634,7.25896,5.66925,96,92
15.1991,9,5.41702,7.58303,7.32235,5.9003,98,101
28.4804,0,4.97738,7.19321,7.5427,5.86975,107,94
28.4804,1,4.34505,9.1335,8.31704,5.31903,104,103
28.4804,2,4.75243,8.58785,7.47344,5.06775,94,107
28.4804,3,6.35076,6.56131,6.75025,6.2632,93,99
28.4804,4,4.96118,8.24036,7.79281,5.19177,97,93
28.4804,5,4.1394,9.44734,7.33406,5.63829,106,101
28.4804,6,4.66346,8.44297,7.50302,6.09897,109,101
28.4804,7,4.69215,8.14948,7.50018,5.36725,108,108
28.4804,8,6.83656,5.56634,7.25896,5.66925,96,92
28.4804,9,5.41702,7.58303,7.32235,5.9003,98,101
53.3670,0,4.97738,7.19321,7.5427,5.86975,107,94
53.3670,1,4.34505,9.1335,8.31704,5.31903,104,103
53.3670,2,4.75243,8.58785,7.47344,5.06775,94,107
53.3670,3,6.35076,6.56131,6.75025,6.2632,93,99
53.3670,4,4.96118,8.24036,7.79281,5.19177,97,93
53.3670,5,4.1394,9.44734,7.33406,5.63829,106,101
53.3670,6,4.66346,8.44297,7.50302,6.09897,109,101
53.3670,7,4.69215,8.14948,7.50018,5.36725,108,108
53.3670,8,6.83656,5.56634,7.25896,5.66925,96,92
53.3670,9,5.41702,7.58303,7.32235,5.9003,98,101
100.0000,0,4.97738,7.19321,7.5427,5.86975,107,94
100.0000,1,4.34505,9.1335,8.31704,5.31903,104,103
100.0000,2,4.75243,8.58785,7.47344,5.06775,94,107
100.0000,3,6.35076,6.56131,6.75025,6.2632,93,99
100.0000,4,4.96118,8.24036,7.79281,5.19177,97,93
100.0000,5,4.1394,9.44734,7.33406,5.63829,106,101
100.0000,6,4.66346,8.44297,7.50302,6.09897,109,101
100.0000,7,4.69215,8.14948,7.50018,5.36725,108,108
100.0000,8,6.83656,5.56634,7.25896,5.66925,96,92
100.0000,9,5.41702,7.58303,7.32235,5.9003,98,101
